source_id,display_name,publisher
S7407060296,"Federal State Budgetary Institution ""Institute of Pedagogy, Psychology and Social Problems""",Deactivated repositories
S7407060297,Vitus Bering Kamchatka State University,Deactivated repositories
S7407060298,Kola Science Center of the Russian Academy of Sciences,Deactivated repositories
S7407060299,Kompozitor,Repositories moved to a different RA
S7407060300,Interregional Association of Theorists of State and Law,Deactivated repositories
S7407060301,Media Mente Ltd,Deactivated repositories
S7407060302,Moscow State Conservatory named after Tchaikovsky,Deactivated repositories
S7407060303,"Interdepartmental Center for Analytical Research in Physics, Chemistry and Biology under the Presidium of the Russian Academy of Sciences",Deactivated repositories
S7407060304,National Center of Labor Hygiene and Occupational Diseases,Deactivated repositories
S7407060305,North-Eastern Federal University,Deactivated repositories
S7407060306,"Center for the Study of Social and Human Sciences ""Historical Consciousness""",Deactivated repositories
S7407060307,"LLC Publishing House ""Nestor-History""",Deactivated repositories
S7407060310,LLC  POLIGRAFIST,Deactivated repositories
S7407060311,Basic Problems of Material Science,Deactivated repositories
S7407060312,N. A. Rimsky-Korsakov Saint Petersburg State Conservatory,Deactivated repositories
S7407060313,N.I. Lobachevsky State University of Nizhni Novgorod - National Research University,Deactivated repositories
S7407060314,Open Systems Publishings,Deactivated repositories
S7407060315,Omsk F. M. Dostoevsky State University,Deactivated repositories
S7407060316,Caspian Agrarian Federal Scientific Center of the Russian Academy of Sciences,Deactivated repositories
S7407060317,Karto y Ov Ltd,Deactivated repositories
S7407060318,Institute for Problems of Chemical and Energy Technologies,Deactivated repositories
S7407060319,Test,Deactivated repositories
S7407060320,UE «Professionalnye izdaniya»,Deactivated repositories
S7407060321,Saint-Petersburg Economic Journal,Deactivated repositories
S7407060322,Publishing Group Logos,Deactivated repositories
S7407060323,"Publishing and Printing Center ""POLITERRA""",Deactivated repositories
S7407060324,PRINT-2 Ltd,Deactivated repositories
S7407060325,Russian Association for the Study of Pain,Deactivated repositories
S7407060326,EDITORIAL REUS,Deactivated repositories
S7407060327,RUSSIAN SOCIETY OF HISTORIANS OF MEDICINE,Deactivated repositories
S7407060328,St Philaret's Christian Institute in Moscow,Deactivated repositories
S7407060329,"LLC ""NETWORK INSTITUTE OF ADDITIONAL PROFESSIONAL EDUCATION""",Deactivated repositories
S7407060330,Flinta Publishing,Deactivated repositories
S7407060331,Saint Petersburg Mining University,Deactivated repositories
S7407060332,Sputnik+ Publishings,Deactivated repositories
S7407060333,South-Siberian Scientific Bulletin,Repositories moved to a different RA
S7407060334,Tavrida Bulletin of Agrarian Science,Deactivated repositories
S7407060336,Traditional Culture,Deactivated repositories
S7407060337,Saint Petersburg State Institute of Technology,Deactivated repositories
S7407060338,Scientific School of Educational Systems Management,Deactivated repositories
S7407060339,Ural Scientific Research and Design Institute,Deactivated repositories
S7407060340,Penza State Agrarian University,Deactivated repositories
S7407060341,All-Russian Selection and Technology Institute of Horticulture and Viticulture,Deactivated repositories
S7407060342,Voronezh State Technical University,Deactivated repositories
S7407060343,Yakut Science Centre of RAMS,Deactivated repositories
S7407060460,Repositorio Universidad de Cartagena,Deactivated repositories
S7407060469,Drexel University Libraries,Deactivated repositories
S7407060470,Digital Antiquity (TDAR),Deactivated repositories
S7407060472,VETERINARYMEDICINE,Deactivated repositories
S7407060473,Astrakhan State Medical University,Deactivated repositories
S7407060474,Foundation for Science and Education,Deactivated repositories
S7407060475,ISVP,Deactivated repositories
S7407060476,The Institute of Oriental Manuscripts. Russian Academy of Sciences,Deactivated repositories
S7407060477,Kremlin Medicine Journal,Deactivated repositories
S7407060478,FSBSI KRCAHVM,Deactivated repositories
S7407060479,Scientific publications of MAI,Deactivated repositories
S7407060480,Ассоциация интернет-издателей,Deactivated repositories
S7407060481,"Federal State Budgetary Educational Institution of Higher Education ""Yaroslav-the-Wise Novgorod State University""",Deactivated repositories
S7407060482,"Association ""PAAS""",Repositories moved to a different RA
S7407060484,Journal «Theoretical and applied ecology»,Deactivated repositories
S7407060486,Summer School in Russian Literature,Deactivated repositories
S7407060487,Publishing house «Radiotekhnika»,Deactivated repositories
S7407060489,Digital Repository of Southern Federal University,Deactivated repositories
S7407060490,СИНТЕРИЯ,Deactivated repositories
S7407060492,Repository of scientific and methodological materials SU (IMBL),Deactivated repositories
S7407060493,Russian State Agrarian University-Moskow Timiryazev Agricultural Academy,Deactivated repositories
S7407060494,База данных «Электронная библиотека УрГПУ»,Repositories moved to a different RA
S7407060495,Vestnic Chuvash State Agricultural Academy,Deactivated repositories
S7407060499,Universitätsbibliothek Bamberg,Repositories moved to a different RA
S7407060516,AMA Service GmbH,Repositories moved to a different RA
S7407060517,Apeiron WSBPI,Deactivated repositories
S7407060518,"Stiftung Schloss Friedenstein, Gotha",Deactivated repositories
S7407060519,"EARSeL eProceedings, University of Oldenburg",Deactivated repositories
S7407060520,Editura Universitara - Romania,Repositories moved to a different RA
S7407060521,European Society of Cardiovascular Radiology,Deactivated repositories
S7407060522,Eyvor Institut,Deactivated repositories
S7407060523,"FLOSS Project, Syracuse University",Deactivated repositories
S7407060524,Hochschule Sachsen-Anhalt,Deactivated repositories
S7407060525,Hüttentechnische Vereinigung der Deutschen Glasindustrie e.V.,Deactivated repositories
S7407060528,MB-Mediasports,Deactivated repositories
S7407060529,Politechnika Wrocławska,Deactivated repositories
S7407060530,Prior Art Publishing GmbH,Deactivated repositories
S7407060531,Silesian University of Technology,Deactivated repositories
S7407060532,Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Repositories moved to a different RA
S7407060533,Senckenberg Naturhistorische Sammlungen Dresden,Repositories moved to a different RA
S7407060534,UIKTEN - Association for Information Communication Technology Education and Science,Repositories moved to a different RA
S7407060535,Thieme Chemistry,Repositories moved to a different RA
S7407060536,Universitätsbibliothek Christian-Albrechts-Universität zu Kiel,Repositories moved to a different RA
S7407060537,International Atomic Energy Agency,Deactivated repositories
S7407060544,Repositorio Institucional CRIS UABC,Deactivated repositories
S7407060552,Amt für Statistik Berlin-Brandenburg,Deactivated repositories
S7407060568,Polska Platforma Medyczna,Deactivated repositories
S7407060668,Deutsche Hochdruckliga e.V.,Deactivated repositories
S7407060670,"TU Braunschweig, Institut für Psychologie, Abt. Gerontopsychologie",Deactivated repositories
S7407060671,Leibniz-Institut für Nutztierbiologie (FBN),Repositories moved to a different RA
S7407060674,Video Journal of Vitreoretinal Surgery,Deactivated repositories
S7407060675,Faculty of Economics University of Ljubljana,Repositories moved to a different RA
S7407060676,Joachim Herz Stiftung (Programmbereich Wirtschaft),Deactivated repositories
S7407060677,e-Journal of Practical Business Research,Deactivated repositories
S7407060678,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,Repositories moved to a different RA
S7407059827,ROSIS Veröffentlichungen,Deactivated repositories
S7407059927,te.ma,Deactivated repositories
S7407059964,"BOP, Swiss Journal of Educational Research",Repositories moved to a different RA
S7407059965,BOP: Versants,Repositories moved to a different RA
S7407059966,DODIS Internationale Beziehungen,Deactivated repositories
S7407059986,IIEMSA,Deactivated repositories
S7407059988,St. Edward's University,Deactivated repositories
S7407059989,Zuyd University of Applied Sciences,Deactivated repositories
S7407060004,Facultad de Psicología de la Universidad de la República,Deactivated repositories
S7407060034,Alexandrio TEI of Thessaloniki,Deactivated repositories
S7407060005,Heinrich Böll Foundation,Deactivated repositories
S7407060010,"University of Ljubljana, Faculty of Law (UL-FL)",Deactivated repositories
S7407060071,omicX,Deactivated repositories
S7407060072,R&D Médiation,Deactivated repositories
S7407060272,Cardiometry Journal,Deactivated repositories
S7407060273,Dairy and Beef Cattle Farming,Deactivated repositories
S7407060274,THE EURASIAN HUMANITIES INSTITUTE,Deactivated repositories
S7407060280,Fodder Production,Deactivated repositories
S7407060281,Garage Museum of Contemporary Art,Deactivated repositories
S7407060230,Czytelnia Czasopism PAN,Deactivated repositories
S7407060231,Polskie Towarzystwo Akustyczne,Deactivated repositories
S7407060285,Institute of Computational Technologies SB RAS,Deactivated repositories
S7407060287,"Institute for Humanitarian Studies and Problems of Small Peoples of the North, Siberian Branch of the Russian Academy of Sciences",Repositories moved to a different RA
S7407060308,Journal Nauka Mysl,Repositories moved to a different RA
S7407060309,Nauka Online,Deactivated repositories
S7407060335,"National association of specialists in thrombosis, clinical haemostasiology and haemorheology",Repositories moved to a different RA
S7407060455,ARTiFACTS,Deactivated repositories
S7407060485,Издательство «Политехника»,Deactivated repositories
S7407060488,"The Russian Journal «Problems of Veterinary Sanitation, Hygiene and Ecology»",Deactivated repositories
S7407060515,Romania ADL Association,Deactivated repositories
S7407060527,Lublin University of Technology,Repositories moved to a different RA
S7407060669,European Academy for Allergology and Clinical Immunology,Deactivated repositories
S7407060035,TEI of Western Greece,Deactivated repositories
S7407060238,Uniwersytet Zielonogórski,Deactivated repositories
S7407060498,Meconed Repository,Deactivated repositories
