source_id,display_name,oa_publisher,oa_country,doaj_title,doaj_publisher,doaj_country,walden_issns,doaj_match_issn,name_linked,n_tokens,flag_reason
S4306536338,اسلام و مطالعات اجتماعی,,,اسلام و مطالعات اجتماعی,Islamic Sciences and Culture Academy,"Iran, Islamic Republic of",,2345-5586,True,4,
S4306536345,یافته,,,یافته,Lorestan University of Medical Science,"Iran, Islamic Republic of",,2981-0779,True,1,
S4306536354,اقتصاد کشاورزی و توسعه,,,اقتصاد کشاورزی و توسعه,"Agricultural Planning, Economics, and Rural Development Research Institute (APERDRI)","Iran, Islamic Republic of",,2645-6443,True,4,
S4306536361,اکوهیدرولوژی,,,اکوهیدرولوژی,University of Terhan press,"Iran, Islamic Republic of",,2423-6101,True,1,
S4306536439,المجلة الدولية للاداء الاقتصادي,,,المجلة الدولية للأداء الاقتصادي,University of Boumerdes,Algeria,,2716-9073,True,4,
S4306536476,امامت پژوهی,,,امامت پژوهی,Imamate Cultural Foundation,"Iran, Islamic Republic of",,2588-6533,True,2,
S4306536483,آموزه های قرآنی,,,آموزه‌های قرآنی,Razavi University of Islamic Sciences,"Iran, Islamic Republic of",,2783-4085,True,3,
S4306536495,آینده‌پژوهی دفاعی,,,آینده‌پژوهی دفاعی,Command and Staff University,"Iran, Islamic Republic of",,2588-428X,True,2,
S4306536507,بررسی مسائل اقتصاد ایران,,,بررسی مسائل اقتصاد ایران,Institute for Humanities and Cultural Studies (IHCS),"Iran, Islamic Republic of",,2783-2317,True,4,
S4306536517,بهبود مدیریت,,,بهبود مدیریت,Defence Industries Training and Research Institute,"Iran, Islamic Republic of",,2783-090X,True,2,
S4306536529,پترولوژی,,,پترولوژی,University of Isfahan,"Iran, Islamic Republic of",,2228-5210,True,1,
S4306536530,پدافند الکترونیکی و سایبری,,,پدافند الکترونیکی و سایبری,Imam Hussein University,"Iran, Islamic Republic of",,2980-8979,True,4,
S4306536534,پژوهش ادبیات معاصر جهان,,,پژوهش ادبیات معاصر جهان,University of Tehran,"Iran, Islamic Republic of",,2588-4131,True,4,
S4306536539,پژوهش در دین و سلامت,,,پژوهش در دین و سلامت,Shahid Beheshti University of Medical Sciences,"Iran, Islamic Republic of",,2383-4323,True,5,
S4306536540,پژوهش در نظام های آموزشی,,,پژوهش در نظام‌های آموزشی,Iranian Educational Research Association,"Iran, Islamic Republic of",,2383-1324,True,5,
S4306536541,پژوهش در ورزش تربیتی,,,پژوهش در ورزش‌ تربیتی,Sport Sciences Research Institute,"Iran, Islamic Republic of",,2538-2721,True,4,
S4306536542,پژوهش سیستم های بس ذره ای,,,پژوهش سیستم‌های بس‌ذره‌ای,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,2322-231X,True,6,
S4306536547,پژوهشنامه ادبیات کردی,,,پژوهشنامه ادبیات کردی,University of Kurdistan,"Iran, Islamic Republic of",,2717-0039,True,3,
S4306536567,پژوهش‌نامه حقوق اسلامی,,,پژوهش‌نامه حقوق اسلامی,"Imam Sadiq University in Iran, Islamic Republic of","Iran, Islamic Republic of",,2251-9858,True,3,
S4306536581,پژوهشنامه مددکاری اجتماعی,,,پژوهشنامه مددکاری اجتماعی,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2476-6380,True,3,
S4306536583,پژوهش نامه مدیریت تحول,,,پژوهش نامه مدیریت تحول,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2383-4064,True,4,
S4306536592,پژوهش های آبخیزداری,,,پژوهش‌های آبخیزداری,Fars Agricultural and Natural Resources Research and Education Center,"Iran, Islamic Republic of",,2981-2038,True,3,
S4306536608,پژوهش های تاریخی,,,پژوهش های تاریخی,University of Isfahan,"Iran, Islamic Republic of",,2008-6253,True,3,
S4306536609,پژوهش های تجربی حسابداری,,,پژوهش‌های تجربی حسابداری,"Alzahra University, Faculty of Social Sciences and Economics","Iran, Islamic Republic of",,2251-8509,True,4,
S4306536610,پژوهش های ترجمه در زبان و ادبیات عربی,,,پژوهش‌های ترجمه در زبان و ادبیات عربی,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2538-2608,True,8,
S4306536611,پژوهش های تفسیر تطبیقی,,,پژوهش‌های تفسیر تطبیقی,University of Qom,"Iran, Islamic Republic of",,2476-4205,True,4,
S4306536619,پژوهش های حبوبات ایران,,,پژوهش‌های حبوبات ایران,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2783-5367,True,4,
S4306536624,پژوهشهای حقوقی,,,پژوهشهای حقوقی,Shahr-e- Danesh Research And Study Institute of Law,"Iran, Islamic Republic of",,2717-0020,True,2,
S4306536625,پژوهش های حقوق تطبیقی,,,پژوهش های حقوق تطبیقی,Tarbiat Modares University,"Iran, Islamic Republic of",,2251-6751,True,4,
S4306536626,پژوهشهای حقوق جزا و جرم شناسی,,,پژوهشهای حقوق جزا و جرم شناسی,Shahr-e- Danesh Research And Study Institute of Law,"Iran, Islamic Republic of",,2716-9685,True,6,
S4306536641,پژوهش های ژئوفیزیک کاربردی,,,پژوهش‌های ژئوفیزیک کاربردی,Shahrood University of Technology,"Iran, Islamic Republic of",,2476-5007,True,4,
S4306536651,پژوهش‌های علوم و فناوری چوب و جنگل,,,پژوهش های علوم و فناوری چوب و جنگل,Gorgan University of Agricultural Sciences and Natural Resources,"Iran, Islamic Republic of",,2322-2077,True,7,
S4306536658,پژوهش های کاربردی در گیاهپزشکی,,,پژوهش های کاربردی در گیاهپزشکی,University of Tabriz,"Iran, Islamic Republic of",,2717-3178,True,5,
S4306536666,پژوهش های مدیریت عمومی,,,پژوهش‌های مدیریت عمومی,University of Sistan and Baluchestan,"Iran, Islamic Republic of",,2676-7880,True,4,
S4306536676,پژوهش و توسعه جنگل,,,پژوهش و توسعه جنگل,Urmia University,"Iran, Islamic Republic of",,2476-3551,True,4,
S4306536687,تاریخ و فرهنگ,,,تاریخ و فرهنگ,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2228-706X,True,3,
S4306536689,تاکسونومی و بیوسیستماتیک,,,تاکسونومی و بیوسیستماتیک,University of Isfahan,"Iran, Islamic Republic of",,2008-8906,True,3,
S4306536694,تحقیقات آفات گیاهی,,,تحقیقات آفات گیاهی,University of Guilan,"Iran, Islamic Republic of",,2538-6123,True,3,
S4306536699,تحقیقات تاریخ اجتماعی,,,تحقیقات تاریخ اجتماعی,Institute for Humanities and Cultural Studies,"Iran, Islamic Republic of",,2383-0484,True,3,
S4306536700,تحقیقات تولیدات دامی,,,تحقیقات تولیدات دامی,University of Guilan,"Iran, Islamic Republic of",,2538-6107,True,3,
S4306536706,تحقیقات دامپزشکی و فرآورده‌های بیولوژیک,,,تحقیقات دامپزشکی و فرآورده‌های بیولوژیک,Razi Vaccine & Serum Research Institute,"Iran, Islamic Republic of",,3041-9417,True,5,
S4306536709,تحقیقات علوم چوب و کاغذ ایران,,,تحقیقات علوم چوب و کاغذ ایران,Regional Information Center for Science and Technology (RICeST),"Iran, Islamic Republic of",,2383-112X,True,6,
S4306536712,تحقیقات علوم قرآن و حدیث,,,تحقیقات علوم قرآن و حدیث,Alzahra University,"Iran, Islamic Republic of",,2476-616X,True,5,
S4306536716,تحقیقات کتابداری و اطلاع رسانی  دانشگاهی,,,تحقیقات کتابداری و اطلاع‌رسانی دانشگاهی,University of Tehran,"Iran, Islamic Republic of",,2783-4638,True,6,
S4306536720,تحقیقات منابع آب ایران,,,تحقیقات منابع آب ایران,Iranian Water Resources Association,"Iran, Islamic Republic of",,1735-2347,True,4,
S4306536729,تصمیم گیری و تحقیق در عملیات,,,تصمیم گیری و تحقیق در عملیات,"Ayandegan Institute of Higher Education, Tonekabon,","Iran, Islamic Republic of",,2538-5097,True,6,
S4306536738,توسعه اجتماعی,,,توسعه اجتماعی,Shahid Chamran University Of Ahvaz,"Iran, Islamic Republic of",,2588-6444,True,2,
S4306536746,جامعه‌شناسی سیاسی جهان اسلام,,,جامعه شناسی سیاسی جهان اسلام,Shahed University,"Iran, Islamic Republic of",,2980-9371,True,4,
S4306536747,جامعه شناسی کاربردی,,,جامعه شناسی کاربردی,University of Isfahan,"Iran, Islamic Republic of",,2008-5745,True,3,
S4306536748,جامعه شناسی نهادهای اجتماعی,,,جامعه‌شناسی نهادهای اجتماعی,University of Mazandaran,"Iran, Islamic Republic of",,2383-0395,True,4,
S4306536761,جغرافیای اجتماعی شهری,,,جغرافیای اجتماعی شهری,Shahid Bahonar University of Kerman,"Iran, Islamic Republic of",,2645-7784,True,3,
S4306536765,جغرافیا و پایداری محیط,,,جغرافیا و پایداری محیط,Razi University,"Iran, Islamic Republic of",,2322-3197,True,4,
S4306536770,جغرافیا و مخاطرات محیطی,,,جغرافیا و مخاطرات محیطی,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2383-3076,True,4,
S4306536787,حکمت معاصر,,,حکمت معاصر,Institute for Humanities and Cultural Studies (IHCS),"Iran, Islamic Republic of",,2383-0697,True,2,
S4306536788,حکمت و فلسفه,,IR,حکمت و فلسفه,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,1735-3238,True,3,
S4306536807,دانش حسابداری مالی,,,دانش حسابداری مالی,Imam Khomeini International University,"Iran, Islamic Republic of",,2676-6213,True,3,
S4306536820,دانشنامه حقوق اقتصادی,,,دانشنامه حقوق اقتصادی,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2717-333X,True,3,
S4306536822,دانشور پزشکی,,,دانشور پزشکی,Shahed University,"Iran, Islamic Republic of",,2716-9731,True,2,
S4306536887,دولت پژوهی,,,دولت‌پژوهی,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2476-2806,True,2,
S4306536896,راهبرد مدیریت مالی,,,راهبرد مدیریت مالی,Alzahra University,"Iran, Islamic Republic of",,2345-3214,True,3,
S4306536900,رفتار حرکتی,,,رفتار حرکتی,Sport Sciences Research Institute,"Iran, Islamic Republic of",,2538-273X,True,2,
S4306536902,رهیافت انقلاب اسلامی,,,رهیافت انقلاب اسلامی,Abdolmotaleb Abdollah,"Iran, Islamic Republic of",,2980-9118,True,3,
S4306536912,روستا و توسعه,,,روستا و توسعه,"Agricultural Planning, Economics and Rural Development Research Institute","Iran, Islamic Republic of",,2645-6486,True,3,
S4306536915,رویکردهای نوین آموزشی,,,رویکردهای نوین آموزشی,University of Isfahan,"Iran, Islamic Republic of",,2423-6780,True,3,
S4306536918,زبان پژوهی,,,زبان پژوهی,Alzahra University,"Iran, Islamic Republic of",,2538-1989,True,2,
S4306536928,زیست شناسی کاربردی,,,زیست‌شناسی کاربردی,Alzahra University,"Iran, Islamic Republic of",,2251-7901,True,3,
S4306536933,زمین شناسی کاربردی پیشرفته,,,زمین‌شناسی کاربردی پیشرفته,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,2717-0764,True,4,
S4306536934,زن در توسعه و سیاست,,,زن در توسعه و سیاست,Faculty of Social Sciences University of Tehran,"Iran, Islamic Republic of",,2538-3132,True,5,
S4306536935,زن در فرهنگ و هنر,,,زن در فرهنگ و هنر,"Center for Women and Family Studies, University of Tehran","Iran, Islamic Republic of",,2538-3108,True,5,
S4306536941,سیاست علم و فناوری,,,سیاست علم و فناوری,National Research Institute for Science Policy (NRISP),"Iran, Islamic Republic of",,2008-0840,True,4,
S4306536942,سیاست گذاری  اقتصادی,,,سیاست‌گذاری اقتصادی,Yazd University,"Iran, Islamic Republic of",,2645-3975,True,3,
S4306536943,سیاست گذاری پیشرفت اقتصادی,,,سیاست‌گذاری پیشرفت اقتصادی,Alzahra University,"Iran, Islamic Republic of",,2538-158X,True,4,
S4306536944,سیاست متعالیه,,,‫سیاست متعالیه‏,Political Studies Association of the Seminary,"Iran, Islamic Republic of",,2345-2676,True,2,
S4306536945,سیاست نامه علم و فناوری,,,سیاست نامه علم و فناوری,Sharif University of Technology (Sharif Policy Research Institute),"Iran, Islamic Republic of",,2717-1973,True,5,
S4306536949,سپهر سیاست,,,سپهر سیاست,Qom Islamic Azad University,"Iran, Islamic Republic of",,2538-5674,True,2,
S4306536990,علوم اجتماعی دانشگاه فردوسی مشهد,,,علوم اجتماعی دانشگاه فردوسی مشهد,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2980-9452,True,5,
S4306537002,علوم قرآن و حدیث,,,علوم قرآن و حدیث,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2980-9126,True,4,
S4306537006,علوم و تحقیقات بذر ایران,,,علوم و تحقیقات بذر ایران,University of Guilan,"Iran, Islamic Republic of",,2476-3780,True,5,
S4306537010,علوم و فناوری بذر ایران,,,علوم و فناوری بذر ایران,Seed and Plant Certification and Registration Institute,"Iran, Islamic Republic of",,2322-2646,True,5,
S4306537011,علوم و فناوری رنگ,,,علوم و فناوری رنگ,Institute for Color Science and Technology,"Iran, Islamic Republic of",,2383-2169,True,4,
S4306537015,علوم و فنون مدیریت اطلاعات,,,علوم و فنون مدیریت اطلاعات,University of Qom,"Iran, Islamic Republic of",,2476-6658,True,5,
S4306537016,علوم و فنون نظامی,,,علوم و فنون نظامی,AJA Command and Staff University,"Iran, Islamic Republic of",,2008-191X,True,4,
S4306537017,علوم و مهندسی آبیاری,,,علوم و مهندسی آبیاری,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,2588-5960,True,4,
S4306537023,فرهنگ و ادبیات عامه,,,فرهنگ و ادبیات عامه,Tarbiat Modares University,"Iran, Islamic Republic of",,2345-4466,True,4,
S4306537029,فیزیولوژی ورزشی,,,فیزیولوژی ورزشی,Sport Sciences Research Institute,"Iran, Islamic Republic of",,2322-164X,True,2,
S4306537051,فصلنامه بورس اوراق بهادار,,,فصلنامه بورس اوراق بهادار,Securities Exchange,"Iran, Islamic Republic of",,2820-9893,True,4,
S4306537126,فصلنامه سیاست,,,فصلنامه سیاست,University of Tehran,"Iran, Islamic Republic of",,1735-9686,True,2,
S4306537288,فصلنامه فرهنگی تربیتی زنان و خانواده,,,فصلنامه فرهنگی- تربیتی زنان و خانواده,Imam Hussein University,"Iran, Islamic Republic of",,2645-4955,True,6,
S4306537341,فصلنامه نقد ادبی,,,فصلنامه نقد ادبی,Tarbiat Modares University,"Iran, Islamic Republic of",,2008-0360,True,3,
S4306537353,فقه و اصول,,,فقه و اصول,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2008-9139,True,3,
S4306537361,فلسفه و کلام اسلامی,,,فلسفه و کلام اسلامی,University of Tehran,"Iran, Islamic Republic of",,2588-5014,True,4,
S4306537363,فناوری‌های جدید در صنعت غذا,,,فناوری‌های جدید در صنعت غذا,Iranian Research Organization for Science and Technology (IROST),"Iran, Islamic Republic of",,2783-1760,True,5,
S4306537374,کاوش‌نامه زبان و ادبیات فارسی,,,کاوش‌نامه زبان و ادبیات فارسی,Yazd University,"Iran, Islamic Republic of",,2645-4548,True,5,
S4306537375,کاوش‌های مدیریت بازرگانی,,,کاوش‌های مدیریت بازرگانی,Yazd University,"Iran, Islamic Republic of",,2645-3878,True,3,
S4306537377,کتابداری و اطلاع‌رسانی,,,کتابداری و اطلاع‌رسانی,Central Library of Astan Quds Razavi,"Iran, Islamic Republic of",,1680-9637,True,3,
S4306537384,گیاه پزشکی,,,گیاه‌پزشکی,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,2588-5421,True,2,
S4306537399,مبانی نظری هنرهای تجسمی,,,مبانی نظری هنرهای تجسمی,Iranian Scientific Association of Visual Arts,"Iran, Islamic Republic of",,2676-6701,True,4,
S4306537401,متن شناسی ادب فارسی,,,متن شناسی ادب فارسی,University of Isfahan,"Iran, Islamic Republic of",,2476-3268,True,4,
S4306537438,مجلة الآداب و العلوم الإجتماعية,,,مجلة الآداب و العلوم الإجتماعية,Université Sétif 2,Algeria,,1112-4776,True,5,
S4306537539,مجلة الدراسات والبحوث القانونية,,,مجلة الدراسات والبحوث القانونية,"Faculty of Law and Political Sciences, M’sila University",Algeria,,2676-1688,True,4,
S4306537552,مجلة العلوم الاجتماعية و الانسانية,,,مجلة العلوم الاجتماعية و الانسانية,University of Mohamed Boudiaf - M'Sila,Algeria,,2602-6961,True,5,
S4306537566,مجلة العلوم و التكنولوجية للنشاطات البدنية و الرياضية,,,مجلة العلوم و التكنولوجية للنشاطات البدنية و الرياضية,"University of Mostaganem, Institute of Physical Education and Sports",Algeria,,1112-4032,True,8,
S4306537707,مجله ایرانی آموزش در علوم پزشکی,,,مجله ایرانی آموزش در علوم پزشکی,"Isfahan University of Medical Sciences, Medical Education Development Center","Iran, Islamic Republic of",,1608-9359,True,6,
S4306537722,مجله  بهره برداری و پرورش آبزیان,,,مجله بهره‌برداری و پرورش آبزیان,Gorgan University of Agricultural Sciences and Natural Resources,"Iran, Islamic Republic of",,2345-427X,True,6,
S4306537725,مجله بیوتکنولوژی کشاورزی,,,مجله بیوتکنولوژی کشاورزی,Shahid Bahonar University of Kerman,"Iran, Islamic Republic of",,2228-6705,True,3,
S4306537771,مجله جنگل ایران,,,مجله جنگل ایران,Iranian Society of Forestry,"Iran, Islamic Republic of",,2008-6113,True,3,
S4306537779,مجله دامپزشکی ایران,,,مجله دامپزشکی ایران.,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,1735-6873,True,3,
S4306537862,مجله علوم تربیتی,,,مجله علوم تربیتی,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,2588-672X,True,3,
S4306537880,مجله مدل سازی در مهندسی,,,مجله مدل سازی در مهندسی,Semnan University,"Iran, Islamic Republic of",,2783-2538,True,5,
S4306537883,مجله مطالعات ایرانی,,,مجله مطالعات ایرانی,Shahid Bahonar University of Kerman,"Iran, Islamic Republic of",,1735-0700,True,3,
S4306537895,محیط زیست و مهندسی آب,,,محیط زیست و مهندسی آب,Iranian Rainwater Catchment Systems Association,"Iran, Islamic Republic of",,2476-3683,True,5,
S4306537896,محیط شناسی,,,محیط شناسی,University of Tehran,"Iran, Islamic Republic of",,2345-6922,True,2,
S4306537897,مخاطرات محیط طبیعی,,,مخاطرات محیط طبیعی,University of Sistan and Baluchestan,"Iran, Islamic Republic of",,2676-4385,True,3,
S4306537900,مدیریت آب و آبیاری,,,مدیریت آب و آبیاری,"University of Tehran, College of Aburaihan","Iran, Islamic Republic of",,2382-9931,True,4,
S4306537902,مدیریت بیابان,,,مدیریت بیابان,Iranian Scientific Association of Desert Management and Control (ISADMC),"Iran, Islamic Republic of",,2476-3985,True,2,
S4306537904,مدیریت بازرگانی,,,‫مدیریت بازرگانی,"University of Tehran, Faculty of Management","Iran, Islamic Republic of",,2008-5907,True,2,
S4306537906,مدیریت بهره‌وری,,,مدیریت بهره وری,"Islamic Azad University, Tabriz Branch","Iran, Islamic Republic of",,2716-9979,True,2,
S4306537911,مدیریت سرمایه اجتماعی,,,مدیریت سرمایه اجتماعی,University of Tehran Press,"Iran, Islamic Republic of",,2423-608X,True,3,
S4306537913,مدیریت صنعتی,,,مدیریت صنعتی,University of Tehran,"Iran, Islamic Republic of",,2008-5885,True,2,
S4306537915,مدیریت فرهنگ سازمانی,,,مدیریت فرهنگ سازمانی,University of Tehran press,"Iran, Islamic Republic of",,2423-6942,True,3,
S4306537920,مدیریت نوآوری,,,مدیریت نوآوری,مدیریت نوآوری,"Iran, Islamic Republic of",,2322-5386,True,2,
S4306537922,مدیریت و توسعه ورزش,,,مدیریت و توسعه ورزش,University of Guilan,"Iran, Islamic Republic of",,2538-5348,True,4,
S4306537923,مدلسازی اقتصادسنجی,,,مدلسازی اقتصادسنجی,Semnan University,"Iran, Islamic Republic of",,2345-654X,True,2,
S4306537932,مطالعات اجتماعی روان شناختی زنان,,,مطالعات اجتماعی روان‌شناختی زنان,Alzahra University,"Iran, Islamic Republic of",,2538-2934,True,5,
S4306537934,مطالعات اسلام و روانشناسی,,,مطالعات اسلام و روانشناسی,Research Institute of Hawzah and University,"Iran, Islamic Republic of",,2008-1103,True,4,
S4306537945,مطالعات تجربی حسابداری مالی,,,مطالعات تجربی حسابداری مالی,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2538-2519,True,4,
S4306537956,مطالعات در دنیای رنگ,,,مطالعات در دنیای رنگ,Institute for Color Science and Technology,"Iran, Islamic Republic of",,2383-2223,True,4,
S4306537960,مطالعات رسانه‌های نوین,,,مطالعات رسانه‌های نوین,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2476-6550,True,3,
S4306537964,مطالعات زبان‌ها و گویش‌های غرب ایران,,,مطالعات زبان‌‌ها و گویش‌های غرب ایران,Razi University,"Iran, Islamic Republic of",,2676-573X,True,6,
S4306537965,مطالعات زبان و ادبیات غنایی,,,مطالعات زبان و ادبیات غنایی,"Islamic Azad University, Najafabad University","Iran, Islamic Republic of",,2717-0896,True,5,
S4306537966,مطالعات زبانی و بلاغی,,,مطالعات زبانی و بلاغی,Semnan University,"Iran, Islamic Republic of",,2008-9570,True,4,
S4306537967,مطالعات زبان و ترجمه,,,‫مطالعات زبان و ترجمه,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2228-5202,True,4,
S4306537968,مطالعات زن و خانواده,,,مطالعات زن و خانواده,Alzahra University,"Iran, Islamic Republic of",,2538-2004,True,4,
S4306537973,مطالعات فقه و حقوق اسلامی,,,مطالعات فقه و حقوق اسلامی,Semnan University,"Iran, Islamic Republic of",,2717-0330,True,5,
S4306537976,مطالعات قرآن و حدیث,,,مطالعات قرآن و حدیث,Imam Sadiq University,"Iran, Islamic Republic of",,2228-6632,True,4,
S4306537978,مطالعات کاربردی تندرستی در فیزیولوژی ورزش,,,مطالعات کاربردی تندرستی در فیزیولوژی ورزش,"Azarbaijan Shahid Madani University Press,","Iran, Islamic Republic of",,2676-6507,True,6,
S4306537979,مطالعات کاربردی علوم زیستی در ورزش,,,مطالعات کاربردی علوم زیستی در ورزش,University of Birjand,"Iran, Islamic Republic of",,2383-0182,True,6,
S4306537981,مطالعات مدیریت (بهبود و تحول),,,مطالعات مدیریت بهبود و تحول,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2476-5988,True,5,
S4306537984,مطالعات مدیریت کسب و کار هوشمند,,,مطالعات مدیریت کسب و کار هوشمند,Allameh Tabataba'i University Press,"Iran, Islamic Republic of",,2821-0964,True,6,
S4306537986,مطالعات مدیریت ورزشی,,,مطالعات مدیریت ورزشی,Sport Sciences Research Institute,"Iran, Islamic Republic of",,2538-3213,True,3,
S4306538000,مکانیک سازه ها و شاره ها,,,مکانیک سازه ها و شاره ها,Shahrood University of Technology,"Iran, Islamic Republic of",,2251-9475,True,6,
S4306538002,منظر,,,منظر,"Nazar research center for Art, Architecture & Urbanism","Iran, Islamic Republic of",,2008-2169,True,1,
S4306538008,مهندسی زراعی,,,مهندسی زراعی,Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",,2588-5944,True,2,
S4306538013,مهندسی عمران فردوسی,,,مهندسی عمران فردوسی,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2783-2805,True,3,
S4306538014,مهندسی عمران مدرس,,,مهندسی عمران مدرس,Tarbiat Modares University,"Iran, Islamic Republic of",,2476-6763,True,3,
S4306538019,مهندسی مکانیک دانشگاه تبریز,,,مهندسی مکانیک دانشگاه تبریز,University of Tabriz,"Iran, Islamic Republic of",,2228-5148,True,4,
S4306538030,نامه آموزش عالی,,,نامه آموزش عالی,Institute for Research and Planning in Higher Education,"Iran, Islamic Republic of",,2783-2139,True,3,
S4306538034,نامه معماری و شهرسازی,,,نامه معماری و شهرسازی,University of Art,"Iran, Islamic Republic of",,2717-1299,True,4,
S4306538150,هیدروژئومورفولوژی,,,هیدروژئومورفولوژی,University of Tabriz,"Iran, Islamic Republic of",,2383-3254,True,1,
S4306538154,هنر اسلامی,,,هنر اسلامی,The Institute of Islamic Art Studies,"Iran, Islamic Republic of",,2676-7759,True,2,
S4306538155,هنر و تمدن شرق,,,هنر و تمدن شرق,Nazar,"Iran, Islamic Republic of",,2345-6620,True,4,
S4306538157,هوش محاسباتی در مهندسی برق,,,هوش محاسباتی در مهندسی برق,University of Isfahan,"Iran, Islamic Republic of",,2821-0689,True,5,
S4306538245,Актуальные проблемы нефти и газа,,,Актуальные проблемы нефти и газа,"Russian Academy of Sciences, Oil and Gas Research Institute",Russian Federation,,2687-0312,True,5,
S4306538458,Вестник Екатеринбургской духовной семинарии,,,Вестник Екатеринбургской духовной семинарии,Russian Orthodox Church. Ekaterinburg Theological Seminary of the Ekaterinburg Eparchy,Russian Federation,,2782-7496,True,4,
S4306539364,Историко-биологические исследования,,,Историко-биологические исследования,"Russian Academy of Sciences, S. I. Vavilov Institute for the History of Science and Technology",Russian Federation,,2076-8176,True,2,
S4306539523,Материалы по археологии и истории античного и средневекового Крыма,,,Материалы по археологии и истории античного и средневекового Крыма,Nizhnevartovsk State University,Russian Federation,,2219-8857,True,9,
S4306539533,Медицина в Кузбассе,,,Медицина в Кузбассе,The Publishing House Medicine and Enlightenment,Russian Federation,,2588-0411,True,3,
S4306540111,Религия. Церковь. Общество,,,"Религия, церковь, общество","Theological Institute of the Evangelical Lutheran Church of Ingria (Saint-Petersburg, Russia),",Russian Federation,,2308-0698,True,3,
S4306540324,Строительство уникальных зданий и сооружений,,,Строительство уникальных зданий и сооружений,"Venture Production, Research and Development Institution",Russian Federation,,2304-6295,True,5,
S4306540598,Экономика и банки,,,Экономика и банки,Полесский государственный университет,Belarus,,2078-5410,True,3,
S4306540827,上海师范大学学报：自然科学版,,,上海师范大学学报. 自然科学版,Academic Journals Center of Shanghai Normal University,China,,1000-5137,True,1,
S4306543170,人民黄河,,,人民黄河,Editorial Office of Yellow River,China,,1000-1379,True,1,
S4306545107,南方能源建设,,,南方能源建设,"Energy Observer Magazine Co., Ltd.",China,,2095-8676,True,1,
S4306545265,口腔疾病防治,,,口腔疾病防治,Editorial Department of Journal of Prevention and Treatment for Stomatological Diseases,China,,2096-1456,True,1,
S4306545465,同济大学学报：医学版,,,同济大学学报. 医学版,Editorail Office of Journal of Tongji University(Medical Science),China,,2097-4345,True,1,
S4306545748,四川大学学报：自然科学版,,,四川大学学报. 自然科学版,Editorial Department of Journal of Sichuan University (Natural Science Edition),China,,0490-6756,True,1,
S4306545802,园林,,,园林,Editorial Department of Landscape Architecture Academic Journal,China,,1000-0283,True,1,
S4306546404,地质科技通报,,,地质科技通报,Editorial Department of Bulletin of Geological Science and Technology,China,,2096-8523,True,1,
S4306548582,应用气象学报,,,应用气象学报,Editorial Office of Journal of Applied Meteorological Science,China,,1001-7313,True,1,
S4306552315,机车电传动,,,机车电传动,Editorial Department of Electric Drive for Locomotives,China,,1000-128X,True,1,
S4306554005,涂料工业,,,涂料工业,Editorial Office of Paint & Coatings Industry,China,,0253-4312,True,1,
S4306557247,能源环境保护,,,能源环境保护,Editorial Office of Energy Environmental Protection,China,,2097-4183,True,1,
S4306559474,长江科学院院报,,,长江科学院院报,Editorial Office of Journal of Changjiang River Scientific Research Institute,China,,1001-5485,True,1,
S4306560131,预防医学,,,预防医学,Editorial Office of China Preventive Medicine Journal,China,,2096-5087,True,1,
S4363604873,Technische Mechanik,,DE,Technische Mechanik,Magdeburger Verein für Technische Mechanik e.V.,Germany,,2199-9244,True,2,
S4363606520,MOKSLO TAIKOMIEJI TYRIMAI LIETUVOS KOLEGIJOSE,,,Mokslo Taikomieji Tyrimai Lietuvos Kolegijose,Kauno Kolegija (Kaunas University of Applied Sciences),Lithuania,,1822-1068,True,5,
S4363606593,ATENEO,,,Ateneo,Colegio de Médicos del Azuay,Ecuador,,2661-6971,True,1,
S4363607297,International Journal of Work-Integrated Learning,,,International Journal of Work-Integrated Learning,Work-Integrated Learning New Zealand (WILNZ),New Zealand,,2538-1032,True,5,
