funder_id,funder,works
F4320334812,Comisión Nacional de Investigación Científica y Tecnológica,4
F4320338104,British Antarctic Survey,4
F4320306540,G. Unger Vetlesen Foundation,4
F4320328513,Marine National Facility,4
F4320319950,Nova Scotia Health Research Foundation,4
F4320309755,Univerzita Karlova v Praze,4
F4320321739,Consejo Nacional de Ciencia y Tecnología,4
F4320326645,Genome Atlantic,4
F4320306434,Ambrose Monell Foundation,4
F4320308681,Geological Society of America,3
F4320331428,Institut Nordique De Recherche En Environnement Et En Santé Au Travail,3
F4320321452,"Ministry of Forests, Lands and Natural Resource Operations",3
F4320310376,National Institute of Water and Atmospheric Research,3
F4320325509,National Institute of Polar Research,3
F4320337986,Tsinghua Shenzhen International Graduate School,3
F4320331257,Alliance de recherche numérique du Canada,3
F4320313536,Commission for Environmental Cooperation,3
F4320318328,Universities Space Research Association,3
F4320332542,National Park Service,3
F4320335598,Agencia Estatal de Investigación,3
F4320337400,Division of Environmental Biology,3
F4320310490,Villum Fonden,3
F4320309169,Florida Fish and Wildlife Conservation Commission,3
F4320321091,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,3
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,3
F4320324499,Università di Pisa,3
F4320321983,"Ministry of Business, Innovation and Employment",3
F4320325866,Universiteit Hasselt,3
F4320321790,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,3
F4320335353,National Science Foundation of Sri Lanka,3
F4320321873,"Ministero dell’Istruzione, dell’Università e della Ricerca",3
F4320315287,Alaska Department of Transportation and Public Facilities,3
F4320337368,Division of Graduate Education,3
F4320338354,Pacific Northwest National Laboratory,3
F4320322581,Vetenskapsrådet,3
F4320308866,Wildlife Conservation Society,3
F4320321005,"Ministerstvo Školství, Mládeže a Tělovýchovy",3
F4320332383,California Department of Fish and Wildlife,3
F4320312777,Santa Fe Institute,3
F4320332386,National Museum of Natural History,3
F4320334595,Agriculture and Agri-Food Canada,2
F4320306550,Wenner-Gren Foundation,2
F4320324622,Fundación Charles Darwin,2
F4320332171,Directorate for Geosciences,2
F4320314997,Strong,2
F4320310302,National Estuarine Research Reserve System,2
F4320320943,Danmarks Grundforskningsfond,2
F4320337557,Climate Program Office,2
F4320337772,National Marine Fisheries Service,2
F4320310317,Cedar Tree Foundation,2
F4320311299,Sveriges Meteorologiska och Hydrologiska Institut,2
F4320311778,China Association for Science and Technology,2
F4320312420,Newton Fund,2
F4320317010,"Department of Science and Innovation, South Africa",2
F4320320331,Met Office,2
F4320321749,GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel,2
F4320323858,"Far East Branch, Russian Academy of Sciences",2
F4320333451,Bureau of Indian Affairs,2
F4320334801,Russian Academy of Sciences,2
F4320337584,Office for Coastal Management,2
F4320326643,Ocean Frontier Institute,2
F4320311063,Fondation Bertarelli,2
F4320319915,Pierre Elliott Trudeau Foundation,2
F4320322604,Universiti Malaya,2
F4320326256,Grand Équipement National De Calcul Intensif,2
F4320334960,Seventh Framework Programme,2
F1692543598,Integrated Marine Observing System,2
F1846185047,RIKEN Center for Computational Science,2
F4320306106,U.S. Department of Education,2
F4320318325,Animal Welfare Institute,2
F4320321108,Academy of Finland,2
F4320334789,Japan Science and Technology Agency,2
F4320336608,Natural Science Foundation of Jiangsu Province for Distinguished Young Scholars,2
F5132439605,Integrated Carbon Observation System,2
F4320308022,California Department of Fish and Game,2
F4320308088,Massachusetts Department of Fish and Game,2
F4320316989,Havforskningsinstituttet,2
F4320321505,Generalitat de Catalunya,2
F4320338136,"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences",2
F4320324506,Muséum National d'Histoire Naturelle,2
F4320325076,Stifterverband,2
F4320326750,Terres Australes et Antarctiques Françaises,2
F4320334977,Beijing Municipal Natural Science Foundation,2
F4320319983,W. Garfield Weston Foundation,2
F4320313139,Niedersächsische Ministerium für Wissenschaft und Kultur,2
F4320331146,Agencia Nacional de Investigación y Desarrollo,2
F4320338206,Fondo de Financiamiento de Centros de Investigación en Áreas Prioritarias,2
F4320334601,National Research Council Canada,2
F4320338140,Canadian Forest Service,2
F4320314707,Government of the United Kingdom,2
F4320320995,Canada Foundation for Innovation,2
F4320321038,Fonds National de la Recherche Luxembourg,2
F4320337357,National Institute of Diabetes and Digestive and Kidney Diseases,2
F4320337509,Biological and Environmental Research,2
F4320314607,Government of Ontario,2
F4320338424,NOAA's Atlantic Oceanographic and Meteorological Laboratory,2
F4320306159,W. M. Keck Foundation,2
F4320306193,John Templeton Foundation,2
F4320319993,Leverhulme Trust,2
F4320332377,Goddard Space Flight Center,2
F4320334709,Australian Centre for International Agricultural Research,2
F4320338284,Argonne National Laboratory,2
F4320337354,National Institute of General Medical Sciences,2
F4320328584,"Ministry of Forests, Lands, Natural Resource Operations and Rural Development",2
F4320322928,Danmarks Frie Forskningsfond,2
F4320324356,Stiftelsen för Åbo Akademi,2
F4320324828,Åbo Akademi,2
F4320323298,Háskóli Íslands,2
F4320336979,"Raunvísindastofnun, Háskóli Íslands",2
F4320312651,Watershed Watch Salmon Society,2
F4320318829,Washington Department of Fish and Wildlife,2
F4320322120,National Research Foundation of Korea,2
F4320322468,Petrobras,2
F4320332605,Agricultural Research Service,2
F4320337770,Pacific Northwest Research Station,2
F4320310926,Università degli Studi Roma Tre,2
F4320306697,Fistula Foundation,1
F4320312438,DigitalGlobe Foundation,1
F4320315444,Clayoquot Biosphere Trust,1
F4320337600,Center for Sponsored Coastal Ocean Research,1
F4320337974,Coral Reef Conservation Program,1
F4320313648,Pacific Northwest Shell Club,1
F4320322011,Ministry of Oceans and Fisheries,1
F4320322263,"Conseil Régional, Île-de-France",1
F4320326632,Institut de Physique du Globe de Paris,1
F4320327222,Korea Institute of Marine Science and Technology promotion,1
F4320327493,Megagrants,1
F4320337538,U.S. Army Corps of Engineers,1
F4320338176,RES’EAU-WaterNET,1
F4320338283,Office of Experimental Program to Stimulate Competitive Research,1
F4320311764,Fulbright Canada,1
F4320316566,Schmidt Ocean Institute,1
F4320318819,Tides Foundation,1
F4320323028,Atlantic Canada Opportunities Agency,1
F4320323141,Australian Centre for Field Robotics,1
F4320332374,Ames Research Center,1
F6289146581,Commission Géologique du Canada,1
F4320306137,Bill and Melinda Gates Foundation,1
F4320307425,Primate Conservation,1
F4320307639,George Cedric Metcalf Charitable Foundation,1
F4320307873,William and Flora Hewlett Foundation,1
F4320309955,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",1
F4320309996,Asahi Glass Foundation,1
F4320310326,Holsworth Wildlife Research Endowment,1
F4320310436,Australian Institute of Marine Science,1
F4320310462,National Pork Board,1
F4320312627,Biology Society of South Australia,1
F4320313362,Cape Eleuthera Foundation,1
F4320313364,Echo Foundation,1
F4320313424,Association of Canadian Universities for Northern Studies,1
F4320313506,Royal Bank of Canada,1
F4320313627,"Department of Conservation, New Zealand",1
F4320314720,David and Elaine Potter Foundation,1
F4320316436,"Agência Regional para o Desenvolvimento da Investigação, Tecnologia e Inovação",1
F4320318891,Virginia Marine Resources Commission,1
F4320320458,Ian Potter Foundation,1
F4320320758,National Parks Board - Singapore,1
F4320321561,Churchill Northern Studies Centre,1
F4320321747,Fonds Québécois de la Recherche sur la Nature et les Technologies,1
F4320321837,Ministerio de Economía y Competitividad,1
F4320322364,Labex,1
F4320322381,A.G. Leventis Foundation,1
F4320322724,"Ministry of Education, India",1
F4320322798,Department of Environment and Water,1
F4320324221,Instituto Nacional de Pesquisas da Amazônia,1
F4320324598,Save Our Seas Foundation,1
F4320326084,Regione Toscana,1
F4320326086,Provincia Autonoma di Trento,1
F4320327193,Mohamed bin Zayed Species Conservation Fund,1
F4320329860,National Science and Technology Major Project,1
F4320330385,Ministerio para la Transición Ecológica y el Reto Demográfico,1
F4320330846,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,1
F4320332042,Nunavut Wildlife Management Board,1
F4320332276,Advanced Research Projects Agency - Energy,1
F4320332815,Advanced Research Projects Agency,1
F4320333277,Disney Conservation Fund,1
F4320333679,South Central Climate Adaptation Science Center,1
F4320334857,Consejo Superior de Investigaciones Científicas,1
F4320335805,South African National Parks,1
F4320335960,National Major Science and Technology Projects of China,1
F4320336575,Ministry of Environment and Sustainable Development,1
F1532834926,Stanford King Center on Global Development,1
F4320310693,Deutsches Krebsforschungszentrum,1
F4320312236,Canadian Celiac Association,1
F4320314688,Canadian Association of Petroleum Producers,1
F4320317176,Institut Català de Nanociència i Nanotecnologia,1
F4320318195,Vlaams Instituut voor de Zee,1
F4320319128,Vlaams Supercomputer Centrum,1
F4320320950,United States-Israel Binational Science Foundation,1
F4320329126,European Marine Biological Resource Centre Belgium,1
F4320332170,Directorate for Engineering,1
F4320333020,Stanford Woods Institute for the Environment,1
F4320335227,Bijzonder Onderzoeksfonds UGent,1
F4320337356,Fogarty International Center,1
F4320308322,Arctic Institute of North America,1
F4320314560,Great Barrier Reef Marine Park Authority,1
F4320323641,Vedecká Grantová Agentúra MŠVVaŠ SR a SAV,1
F4320324119,Uppsala Universitet,1
F4320330944,Nature,1
F4320311418,"National Academies of Sciences, Engineering, and Medicine",1
F4320312558,Phycological Society of America,1
F4320318435,California Ocean Protection Council,1
F4320326721,Qingdao National Laboratory for Marine Science and Technology,1
F4320335065,National Centre for Biological Sciences,1
F4320335778,National Science and Technology Infrastructure Program,1
F4320337369,Office of Polar Programs,1
