raw_author_name	normalized_last	normalized_first	first_initial	normalized_middle	middle_initials	population_freq	log10_freq	est_humans
Ali A. El-Keblawy (4837206)	el-keblawy	ali	a		a	0.000000000247517	-9.61	2.0049
MATHEUS FERNANDO MANZOLLI BALLESTERO	ballestero	matheus	m	fernando manzolli	f	0.000000000000001	-15.30	0.0000
Sürelsan, İsmail Baha	surelsan	ismail	i	baha	b	0.000000000000006	-14.20	0.0001
Bhinge, Somnath Devidas	bhinge	somnath	s	devidas	d	0.000000000000000	-15.93	0.0000
Chelsya		chelsya	c			0.000000000001000	-12.00	0.0081
Llovera, Sara fl. 1937	llovera	sara	s		fl	0.000000000001022	-11.99	0.0083
Афанасьев В.П.	vp	afanasev	a			0.000000000001000	-12.00	0.0081
0613052046, SERI SUSANTI		seri	s	susanti	s	0.000000000000000	-16.82	0.0000
McHugh, Cyrus F.	mchugh	cyrus	c		f	0.000000000008665	-11.06	0.0702
Obara S	s	obara	o			0.000000000001955	-11.71	0.0158
I Ming Wang	wang		i	ming	m	0.000000093490838	-7.03	757.2758
Liang Genqiang	genqiang	liang	l			0.000000000353824	-9.45	2.8660
M. P., Anania	m p	anania	a			0.000000000001000	-12.00	0.0081
de Mello-Jorge, Maria Helena Prado	de mello-jorge	maria	m	helena prado	h	0.000000000000001	-15.01	0.0000
Valéria Andrade Pereira (18176691)	pereira	valeria	v	andrade	a	0.000000000000283	-12.55	0.0023
Henry Kenelm	kenelm	henry	h			0.000000000400366	-9.40	3.2430
L.S. Kovryzhenko	kovryzhenko	ls	l			0.000000000001000	-12.00	0.0081
M. Kameka	kameka		m			0.000000092036334	-7.04	745.4943
Mahesh Kumar Siddaiahb	siddaiahb	mahesh	m	kumar	k	0.000000000000124	-12.91	0.0010
Penman I	i	penman	p			0.000000000001000	-12.00	0.0081
Minden B Shadle	shadle	minden	m		b	0.000000000000035	-13.46	0.0003
Pitsinee Sangphet	sangphet	pitsinee	p			0.000000000001000	-12.00	0.0081
Hugo Wilhelm Lagus	lagus	hugo	h	wilhelm	w	0.000000000000003	-14.51	0.0000
S. M. Goltz	goltz		s		m	0.000000007131835	-8.15	57.7679
Grigorian-Shamagian, Lilián	grigorian-shamagian	lilian	l			0.000000000091651	-10.04	0.7424
Busiło Mariusz	mariusz	busilo	b			0.000000000001000	-12.00	0.0081
YUSI ANUGERAH, 079815805	yusi	anugerah	a			0.000000000001000	-12.00	0.0081
M. Fiľa	fila		m			0.000000307983659	-6.51	2494.6676
Breizman, B. N	breizman		b		n	0.000000000943335	-9.03	7.6410
Johanna Ingrid Elin Swenne	swenne	johanna	j	ingrid elin	i	0.000000000000000	-16.03	0.0000
Borges, Pedro Zanatta Silveira	borges	pedro	p	zanatta silveira	z	0.000000000000070	-13.15	0.0006
ANA LÍCIA BITU PRIMO	primo	ana	a	licia bitu	l	0.000000000000003	-14.52	0.0000
Hernández Sánchez,Camila	hernandez sanchez	camila	c			0.000000000255086	-9.59	2.0662
Baptista, Arthur Rocha	baptista	arthur	a	rocha	r	0.000000000000014	-13.84	0.0001
Laricchiuta P	p	laricchiuta	l			0.000000000001000	-12.00	0.0081
朱广斌	zhu	yan bin	y			0.000000002344025	-8.63	18.9866
IAQUINTA, FIORELLA	fiorella	iaquinta	i			0.000000000003349	-11.48	0.0271
Martina Gantschacher	gantschacher	martina	m			0.000000000145222	-9.84	1.1763
Rakhsha, Saeed	rakhsha	saeed	s			0.000000000269909	-9.57	2.1863
dos Santos Vieira de Alencar, João Paulo	dos santos vieira de alencar	joao	j	paulo	p	0.000000000000096	-13.02	0.0008
Ulrich Sinsch; Carsten Balczun; Patrick Scheid; Jonas Maximilian Dehling	dehling	ulrich	u	sinsch carsten balczun patrick scheid jonas maximilian	s	0.000000000000000	-16.39	0.0000
Fu,Xi	fu	xi	x			0.000000068754614	-7.16	556.9124
Rubby, S	rubby		s			0.000000077489340	-7.11	627.6637
Salas Canales, Hugo Jesús	salas canales	hugo	h	jesus	j	0.000000000000106	-12.98	0.0009
M. Tsimplis	tsimplis		m			0.000000092036334	-7.04	745.4943
N. Casas	casas		n			0.000000939268302	-6.03	7608.0732
Gácsi Szálai Ibolya	ibolya	gacsi	g	szalai	s	0.000000000000000	-18.00	0.0000
Gargione, Luis A.	gargione	luis	l		a	0.000000000086396	-10.06	0.6998
Leon Meza, Mario Ruben	leon meza	mario	m	ruben	r	0.000000000000119	-12.92	0.0010
Ircing, P.	ircing		p			0.000000028997808	-7.54	234.8822
PATEL, RUTWIK	rutwik	patel	p			0.000000000066754	-10.18	0.5407
Eric E. Irons (540261)	irons	eric	e		e	0.000000000086328	-10.06	0.6993
Soumya Palreddy	palreddy	soumya	s			0.000000000084112	-10.08	0.6813
Vega, Luis Alfredo Arriola	vega	luis	l	alfredo arriola	a	0.000000000000143	-12.85	0.0012
Hiego Cândido Silva Costa	costa	hiego	h	candido silva	c	0.000000000000000	-15.41	0.0000
Silveira Teixeira M.	m	silveira	s	teixeira	t	0.000000000000000	-17.89	0.0000
Marie Sigurd	sigurd	marie	m			0.000000000219000	-9.66	1.7739
Magalhães, Juliana Teixeira; Universidade Federal de São João del Rei	magalhaes	juliana	j	teixeira universidade federal de sao joao del rei	t	0.000000000000015	-13.84	0.0001
Ip, Joanna Y	ip	joanna	j		y	0.000000000040576	-10.39	0.3287
Spiro Feltovich	feltovich	spiro	s			0.000000000001708	-11.77	0.0138
Song Depo	depo	song	s			0.000000000144822	-9.84	1.1731
Stanchev, Veselin Stanchev	stanchev	veselin	v	stanchev	s	0.000000000000000	-17.65	0.0000
Edward J. Mills*	mills	edward	e		j	0.000000002028353	-8.69	16.4297
R N Singer	singer		r		n	0.000000040671827	-7.39	329.4418
Gazdag, Zsolt	gazdag	zsolt	z			0.000000000012435	-10.91	0.1007
S. K. Neelam	neelam		s		k	0.000000018147590	-7.74	146.9955
Markus Andreas Müller	muller	markus	m	andreas	a	0.000000000007180	-11.14	0.0582
Noroozisharaf, Alireza	noroozisharaf	alireza	a			0.000000000203043	-9.69	1.6446
Liu, Shuze Daniel	liu	shuze	s	daniel	d	0.000000000020477	-10.69	0.1659
Lazzari, Cristian	lazzari	cristian	c			0.000000001351433	-8.87	10.9466
F. A. BARBOSA	barbosa		f		a	0.000000427831933	-6.37	3465.4387
Sahouri, Ibrahim	sahouri	ibrahim	i			0.000000001069873	-8.97	8.6660
Pompidou G	g	pompidou	p			0.000000000001000	-12.00	0.0081
Melinda Pávai	pavai	melinda	m			0.000000000045128	-10.35	0.3655
H.E. Kerkkamp	kerkkamp	he	h			0.000000000104237	-9.98	0.8443
Kähler, Anna	kahler	anna	a			0.000000001967904	-8.71	15.9400
McCRAKEN Wj	wj	mccraken	m			0.000000000001000	-12.00	0.0081
Kehoe, Dennis	kehoe	dennis	d			0.000000001292546	-8.89	10.4696
V Blokhin	blokhin		v			0.000000015176278	-7.82	122.9279
Leon Grotius Zerfas	zerfas	leon	l	grotius	g	0.000000000000000	-15.84	0.0000
Navarro, Eliane	navarro	eliane	e			0.000000005973904	-8.22	48.3886
Holger M. Strauss	strauss	holger	h		m	0.000000000046698	-10.33	0.3783
Heyden, Lucas von 1838-1915	heyden	lucas	l	von -	v	0.000000000000001	-15.19	0.0000
Camilla Coward	coward	camilla	c			0.000000000168186	-9.77	1.3623
Jacobus J Van Hilten	van hilten	jacobus	j		j	0.000000000000169	-12.77	0.0014
Hajer  Saeed Alorfi	alorfi	hajer	h	saeed	s	0.000000000000003	-14.51	0.0000
Mark Justine M. Bocaoco	bocaoco	mark	m	justine m	j	0.000000000000001	-14.99	0.0000
Rahmawati, Nuri	rahmawati	nuri	n			0.000000002143058	-8.67	17.3588
Arnott, Shelley E	arnott	shelley	s		e	0.000000000002980	-11.53	0.0241
Marco Meyer; Gerda Buchberger; Johannes Heitz; Dariya Baiko; Anna-Christin Joel	joel	marco	m	meyer gerda buchberger johannes heitz dariya baiko anna-christin	m	0.000000000000042	-13.38	0.0003
Fang, Peiyang	fang	peiyang	p			0.000000001739598	-8.76	14.0907
José Luis Antinao (17134756)	antinao	jose	j	luis	l	0.000000000000908	-12.04	0.0074
Ba (psychology Mhealsc [menh	menh	ba	b	psychology mhealsc	p	0.000000000000000	-16.21	0.0000
Richard Lima de Holanda	de holanda	richard	r	lima	l	0.000000000000015	-13.81	0.0001
Vranckx, Myrthel	vranckx	myrthel	m			0.000000000001000	-12.00	0.0081
None Odoanyanwu Ndubuisi M	m	none	n	odoanyanwu ndubuisi	o	0.000000000000000	-17.52	0.0000
Tscherne G	g	tscherne	t			0.000000000001000	-12.00	0.0081
